UMAP_1,UMAP_2,Outlier_Level
0.629824,-0.57992613,2
8.824065,7.7345977,0
13.184651,1.6994302,0
11.624497,6.0056086,0
12.253709,12.410193,0
15.67546,12.513309,0
9.580606,3.4284558,0
6.0582366,-2.500191,0
5.5911865,4.2640424,0
15.67039,12.739192,0
15.083935,12.472258,0
8.049347,5.874901,0
8.713012,2.3407643,0
12.578974,2.2949092,0
10.998299,3.6049917,0
15.593021,12.82286,0
1.4713471,-1.8929486,0
12.215605,1.017845,0
13.70252,0.6657431,0
11.401156,3.9187214,0
16.052574,12.450183,0
0.077011704,0.28360853,2
13.10924,-0.2824779,0
8.647849,-2.6019952,0
6.081845,3.3227744,0
11.950458,0.71326935,0
6.1119328,2.4477174,0
3.7435224,-3.0994208,0
5.677416,4.565854,0
15.5126095,13.555832,0
11.039487,3.9049616,0
10.756384,10.8516445,0
8.292372,0.37116706,0
10.109464,8.060909,0
7.2220078,3.6336968,0
8.085234,0.7942805,0
7.9190507,7.000172,0
12.200871,9.461019,0
10.565886,11.054363,0
10.401614,11.053734,0
11.873045,7.193764,0
15.299681,13.940362,0
8.450095,1.737598,0
15.338818,14.68925,0
6.9241943,-3.4371133,0
9.579169,8.093669,0
7.725752,7.268143,0
4.548842,0.6694896,0
6.2823877,3.2491727,0
3.2981045,-2.9743354,0
9.144252,7.0210466,0
4.3948526,-3.6803908,0
5.5275707,1.8124565,0
7.927788,6.615117,0
8.663986,6.852376,0
13.116717,-0.16855015,0
8.877318,-1.21676,0
13.152943,-0.25371316,0
5.7371492,4.5551343,0
13.267887,-0.63700277,0
16.012196,13.879813,0
6.0794144,4.5187693,0
6.0781174,4.4690986,0
10.672883,2.3233936,0
9.21679,5.7511992,0
5.420308,1.7325727,0
12.729782,-1.1895245,0
12.832744,-1.0871873,0
10.265662,12.091938,0
6.3451858,4.8533225,0
8.719797,5.4425087,0
12.031721,2.1273828,0
4.4299946,-2.4374988,0
7.6700845,-3.629975,0
11.044946,13.945376,0
7.2326055,3.6300805,0
14.343823,1.7325835,0
11.148418,0.6251878,0
15.76784,11.86262,0
6.396407,2.6357563,0
11.647969,0.58397526,0
8.650515,-2.838212,0
7.099989,1.4304241,0
10.25303,0.117044985,0
11.73496,10.138822,0
11.647964,3.249333,0
10.203623,-1.3007882,0
8.958095,0.96704406,0
15.049117,12.736018,0
16.01662,13.798299,0
7.847731,5.5275846,0
10.076945,3.5881965,0
5.9724402,4.303597,0
9.072572,5.869131,0
13.922061,2.0422673,0
6.504305,3.6863525,0
13.001579,10.822948,0
10.66401,10.4898205,0
9.797525,-7.933223,0
10.882638,7.1247334,0
9.854555,12.674573,0
7.4474306,8.283599,0
10.182029,2.711382,0
8.686987,-2.2982519,0
11.569569,9.974158,0
10.5021305,10.8127,0
5.567941,3.9940946,0
10.401998,11.121375,0
7.451411,8.27904,0
9.08506,4.215897,0
5.8209343,-0.17825916,0
9.067787,4.197668,0
8.380334,6.5914874,0
7.9529753,7.191343,0
11.518792,-1.0417712,0
13.142813,7.552249,0
8.810063,2.601342,0
14.844183,0.23253666,0
11.872127,3.8602667,0
7.466871,-2.9954967,0
13.068446,8.839096,0
9.736188,5.8699317,0
8.020422,4.275744,0
6.800555,-3.240773,0
4.38836,-2.5442014,0
12.529594,6.5190945,0
9.835157,12.2862625,0
10.468864,6.9608264,0
14.040643,-0.7088447,0
8.468246,-0.8385618,0
6.9907207,1.1971011,0
8.775793,8.5206995,0
11.697448,10.037989,0
11.647304,0.8022979,0
11.340639,10.917822,0
9.754902,-7.9672017,0
11.707713,10.075994,0
10.380217,11.106107,0
6.687021,0.98853487,0
6.6835,1.0273768,0
9.687156,4.661577,0
6.273328,-2.2741976,0
8.533833,7.8867784,0
11.033712,2.1883035,0
11.9348135,3.6982167,0
5.288523,-2.9264162,0
6.611627,4.645005,0
16.113792,14.147622,0
13.633551,0.47990686,0
9.027917,5.5733404,0
1.2316419,-0.29083523,2
11.287436,3.14663,0
16.439875,13.129575,0
10.398118,-0.1789624,0
15.658433,12.556334,0
10.208949,5.9590497,0
4.953675,1.2403951,0
13.465796,-1.0355685,0
14.3020935,1.3212168,0
3.9822855,-3.1366296,0
3.2379026,-2.5550146,0
13.813064,-0.6132892,0
10.842782,7.685158,0
11.813042,8.925677,0
11.15745,13.166349,0
7.43977,8.292153,0
11.01287,11.079175,0
6.167472,-5.0577264,0
7.6409597,7.8025155,1
11.008516,11.066175,0
6.874234,7.421117,0
12.92865,9.030237,0
12.816034,2.2036204,0
8.788789,5.5599937,0
9.447136,4.7391,0
9.224978,-1.4818916,0
8.315423,6.5793643,0
7.3914356,0.590417,0
-0.38580635,1.1571126,2
10.798675,0.27069205,0
4.594351,-3.7264462,0
11.710115,-1.3325663,0
12.057616,13.151183,0
11.941961,9.641655,0
10.413133,11.034254,0
10.183022,12.575256,0
11.670262,10.01585,0
14.10353,2.0227776,0
10.441839,12.723247,0
5.036004,6.2511806,0
9.922152,12.723636,0
10.55286,-0.5337845,0
8.518759,-1.6290659,0
10.214998,-0.6568631,0
11.523411,9.966005,0
10.355927,11.699157,0
5.0571947,4.091854,0
9.973644,12.597565,0
8.442381,6.550458,0
